Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
28,,,5,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.119412125
28,,,3,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.138803838
28,,,1,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.075729741
14,,,8,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.008439422
14,,,5,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.022743527
14,,,3,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,-0.020168788
14,,,1,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,-0.027320841
7,,,8,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,-0.01875
7,,,5,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.05
7,,,3,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.1
7,,,1,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.025
42,400,1.5,8,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,2.883613634
42,400,1.5,8,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,8.963433681
42,400,1.5,4,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,1.665576459
42,400,1.5,4,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,6.043020941
42,400,1.5,4,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,9.032779542
42,400,1.5,2,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,0.863886584
42,400,1.5,2,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,3.071526385
42,400,1.5,2,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,4.901632161
28,400,1.5,8,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,2.552964606
28,400,1.5,4,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,1.215150889
28,400,1.5,4,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,9.363633705
28,400,1.5,2,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,0.683947999
28,400,1.5,2,,,,,0.331,,,6.38,0.84,3.01,,,1,4,,6.386833159
28,400,1.5,2,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,4.371210579
21,400,1.5,8,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,4.134391671
21,400,1.5,4,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,2.119950827
21,400,1.5,4,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,7.412218921
21,400,1.5,2,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,0.917266788
21,400,1.5,2,,,,,0.331,,,6.38,0.84,3.01,,,1,4,,4.86502791
21,400,1.5,2,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,3.584164398
21,400,1.5,2,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,6.438770299
14,400,1.5,8,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,3.218139133
14,400,1.5,4,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,1.923969263
14,400,1.5,4,,,,,0.331,,,6.38,0.84,3.01,,,1,4,,8.03342113
14,400,1.5,4,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,6.605170038
14,400,1.5,4,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,7.94444088
14,400,1.5,2,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,0.883768952
14,400,1.5,2,,,,,0.331,,,6.38,0.84,3.01,,,1,4,,3.717822651
14,400,1.5,2,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,3.215197229
14,400,1.5,2,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,3.777772685
7,400,1.5,8,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,3.271696087
7,400,1.5,8,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,9.444447366
7,400,1.5,4,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,2.023782871
7,400,1.5,4,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,6.195222947
7,400,1.5,4,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,7.005170583
7,400,1.5,2,,,,,0.331,,,5.83,0.63,28.79,,,1,5,,0.990543146
7,400,1.5,2,,,,,0.331,,,6.38,0.84,3.01,,,1,4,,5.849910975
7,400,1.5,2,,,,,0.331,,,8.26,0.87,16.03,,,1,4,,3.139768903
7,400,1.5,2,,,,,0.331,,,8.27,0.84,12.62,,,1,4,,3.533693428
390,500,0.5,15,,,,0.49,0.038,287.12,,5.39,0.246,2.82,,,1,1,,1.396745899
390,500,0.5,15,,,,0.49,0.038,287.12,,7.94,0.223,7.79,,,1,3,,-0.01563404
390,500,0.5,15,,,,0.49,0.038,287.12,,8.35,0.309,15.25,,,1,3,,0.154715214
240,500,0.5,15,,,,0.49,0.038,287.12,,5.39,,2.82,,,1,1,,2.550349963
240,500,0.5,15,,,,0.49,0.038,287.12,,7.94,0.223,7.79,,,1,3,,0.001209573
240,500,0.5,15,,,,0.49,0.038,287.12,,8.35,0.309,15.25,,,1,3,,0.055477101
150,500,0.5,15,,,,0.49,0.038,287.12,,5.39,,2.82,,,1,1,,3.373681527
150,500,0.5,15,,,,0.49,0.038,287.12,,7.94,0.223,7.79,,,1,3,,-0.020283393
150,500,0.5,15,,,,0.49,0.038,287.12,,8.35,0.309,15.25,,,1,3,,-0.222252334
